log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-6.121443271636963,6.337165355682373,9.540552139282227,-9.540552139282227,-6.121443271636963,6.337165832519531,9.540552139282227,-9.540552139282227,0.0,nan,0,0,,,,,,,,,
-6.121443271636963,7.681847095489502,9.525875091552734,-9.525875091552734,-6.121443271636963,7.681846618652344,9.525875091552734,-9.525875091552734,,,1,1,11.758803367614746,0.010570287704467773,-43.76499557495117,38.17347717285156,11.758804321289062,0.010570287704467773,-43.76499557495117,38.17347717285156,
-6.121443271636963,6.237030029296875,9.5114107131958,-9.5114107131958,-6.121443271636963,6.237030029296875,9.5114107131958,-9.5114107131958,,,2,2,,,,,,,,,
-6.121443271636963,6.117821216583252,9.497164726257324,-9.497164726257324,-6.121443271636963,6.117820739746094,9.497164726257324,-9.497164726257324,,,3,3,,,,,,,,,
-6.121443271636963,5.9986114501953125,9.483129501342773,-9.483129501342773,-6.121443271636963,5.9986114501953125,9.483129501342773,-9.483129501342773,,,4,4,,,,,,,,,
-6.121443271636963,7.004737377166748,9.469298362731934,-9.469298362731934,-6.121443271636963,7.004737854003906,9.469298362731934,-9.469298362731934,0.0,nan,5,5,,,,,,,,,
-6.121443271636963,6.003380298614502,9.455657005310059,-9.455657005310059,-6.121443271636963,6.003379821777344,9.455657005310059,-9.455657005310059,,,6,6,,,,,,,,,
-6.121443271636963,6.041527271270752,9.442198753356934,-9.442198753356934,-6.121443271636963,6.041526794433594,9.442198753356934,-9.442198753356934,,,7,7,,,,,,,,,
-6.121443271636963,5.9986114501953125,9.428915977478027,-9.428915977478027,-6.121443271636963,5.9986114501953125,9.428915977478027,-9.428915977478027,,,8,8,,,,,,,,,
-6.121443271636963,6.499290943145752,9.415802001953125,-9.415802001953125,-6.121443271636963,6.499290466308594,9.415802001953125,-9.415802001953125,,,9,9,,,,,,,,,
-6.121443271636963,6.661414623260498,9.402851104736328,-9.402851104736328,-6.121443271636963,6.661415100097656,9.402851104736328,-9.402851104736328,0.0,nan,10,10,,,,,,,,,
-6.121443271636963,6.7996978759765625,9.390056610107422,-9.390056610107422,-6.121443271636963,6.7996978759765625,9.390056610107422,-9.390056610107422,,,11,11,11.720656394958496,0.007487297058105469,-41.211280822753906,35.295982360839844,11.720657348632812,0.007487297058105469,-41.211280822753906,35.295982360839844,
-6.121443271636963,6.59942626953125,9.377406120300293,-9.377406120300293,-6.121443271636963,6.59942626953125,9.377406120300293,-9.377406120300293,,,12,12,,,,,,,,,
-6.121443271636963,6.7234039306640625,9.364892959594727,-9.364892959594727,-6.121443271636963,6.7234039306640625,9.364892959594727,-9.364892959594727,,,13,13,,,,,,,,,
-6.121443271636963,6.976128101348877,9.352507591247559,-9.352507591247559,-6.121443271636963,6.976127624511719,9.352507591247559,-9.352507591247559,,,14,14,,,,,,,,,
-6.121443271636963,6.241797924041748,9.340237617492676,-9.340237617492676,-6.121443271636963,6.241798400878906,9.340237617492676,-9.340237617492676,0.0,nan,15,15,,,,,,,,,
-6.121443271636963,6.518364429473877,9.328075408935547,-9.328075408935547,-6.121443271636963,6.518363952636719,9.328075408935547,-9.328075408935547,,,16,16,,,,,,,,,
-6.121443271636963,7.262230396270752,9.316008567810059,-9.316008567810059,-6.121443271636963,7.262229919433594,9.316008567810059,-9.316008567810059,,,17,17,,,,,,,,,
-6.121443271636963,7.081031322479248,9.304030418395996,-9.304030418395996,-6.121443271636963,7.081031799316406,9.304030418395996,-9.304030418395996,,,18,18,,,,,,,,,
-6.121443271636963,6.618499755859375,9.292132377624512,-9.292132377624512,-6.121443271636963,6.618499755859375,9.292132377624512,-9.292132377624512,,,19,19,,,,,,,,,
-6.121443271636963,6.260871410369873,9.280306816101074,-9.280306816101074,-6.121443271636963,6.260871887207031,9.280306816101074,-9.280306816101074,0.0,nan,20,20,,,,,,,,,
-6.121443271636963,5.898475170135498,9.268548965454102,-9.268548965454102,-6.121443271636963,5.898475646972656,9.268548965454102,-9.268548965454102,,,21,21,10.962486267089844,0.007839202880859375,-28.02178955078125,22.17043685913086,10.962486267089844,0.007839202880859375,-28.02178955078125,22.17043685913086,
-6.121443271636963,5.984306812286377,9.256853103637695,-9.256853103637695,-6.121443271636963,5.984306335449219,9.256853103637695,-9.256853103637695,,,22,22,,,,,,,,,
