log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-5.811396598815918,70.38116455078125,8.774991989135742,-8.774991989135742,-5.811396598815918,70.38116455078125,8.774991989135742,-8.774991989135742,0.0,nan,0,0,,,,,,,,,
-5.811396598815918,55.599212646484375,8.769866943359375,-8.769866943359375,-5.811396598815918,55.599212646484375,8.769866943359375,-8.769866943359375,,,1,1,100.61264038085938,0.08397829532623291,-50.842681884765625,44.671749114990234,100.61264038085938,0.08397829532623291,-50.842681884765625,44.671749114990234,
-5.811396598815918,58.2218132019043,8.7647066116333,-8.7647066116333,-5.811396598815918,58.22181701660156,8.7647066116333,-8.7647066116333,,,2,2,,,,,,,,,
-5.811396598815918,59.795379638671875,8.759538650512695,-8.759538650512695,-5.811396598815918,59.795379638671875,8.759538650512695,-8.759538650512695,,,3,3,,,,,,,,,
-5.811396598815918,56.02836990356445,8.754363059997559,-8.754363059997559,-5.811396598815918,56.02836608886719,8.754363059997559,-8.754363059997559,,,4,4,,,,,,,,,
-5.811396598815918,54.97932052612305,8.749168395996094,-8.749168395996094,-5.811396598815918,54.97932434082031,8.749168395996094,-8.749168395996094,0.0,nan,5,5,,,,,,,,,
-5.811396598815918,55.217742919921875,8.743945121765137,-8.743945121765137,-5.811396598815918,55.217742919921875,8.743945121765137,-8.743945121765137,,,6,6,,,,,,,,,
-5.811396598815918,54.97932052612305,8.738687515258789,-8.738687515258789,-5.811396598815918,54.97932434082031,8.738687515258789,-8.738687515258789,,,7,7,,,,,,,,,
-5.811396598815918,54.836273193359375,8.733380317687988,-8.733380317687988,-5.811396598815918,54.836273193359375,8.733380317687988,-8.733380317687988,,,8,8,,,,,,,,,
-5.811396598815918,62.1795654296875,8.72801399230957,-8.72801399230957,-5.811396598815918,62.1795654296875,8.72801399230957,-8.72801399230957,,,9,9,,,,,,,,,
-5.811396598815918,57.3635139465332,8.72257137298584,-8.72257137298584,-5.811396598815918,57.36351013183594,8.72257137298584,-8.72257137298584,0.0,nan,10,10,,,,,,,,,
-5.811396598815918,58.2218132019043,8.717039108276367,-8.717039108276367,-5.811396598815918,58.22181701660156,8.717039108276367,-8.717039108276367,,,11,11,105.9532241821289,0.04405689239501953,-45.83507537841797,39.767826080322266,105.95321655273438,0.04405689239501953,-45.83507537841797,39.767826080322266,
-5.811396598815918,56.40983963012695,8.711405754089355,-8.711405754089355,-5.811396598815918,56.40983581542969,8.711405754089355,-8.711405754089355,,,12,12,,,,,,,,,
-5.811396598815918,55.1700553894043,8.705659866333008,-8.705659866333008,-5.811396598815918,55.17005920410156,8.705659866333008,-8.705659866333008,,,13,13,,,,,,,,,
-5.811396598815918,56.02836990356445,8.69979476928711,-8.69979476928711,-5.811396598815918,56.02836608886719,8.69979476928711,-8.69979476928711,,,14,14,,,,,,,,,
-5.811396598815918,55.1700553894043,8.693804740905762,-8.693804740905762,-5.811396598815918,55.17005920410156,8.693804740905762,-8.693804740905762,0.0,nan,15,15,,,,,,,,,
-5.811396598815918,57.6019287109375,8.6876859664917,-8.6876859664917,-5.811396598815918,57.6019287109375,8.6876859664917,-8.6876859664917,,,16,16,,,,,,,,,
-5.811396598815918,55.217742919921875,8.681439399719238,-8.681439399719238,-5.811396598815918,55.217742919921875,8.681439399719238,-8.681439399719238,,,17,17,,,,,,,,,
-5.811396598815918,54.59785079956055,8.67506217956543,-8.67506217956543,-5.811396598815918,54.59785461425781,8.67506217956543,-8.67506217956543,,,18,18,,,,,,,,,
-5.811396598815918,54.97932052612305,8.668561935424805,-8.668561935424805,-5.811396598815918,54.97932434082031,8.668561935424805,-8.668561935424805,,,19,19,,,,,,,,,
-5.811396598815918,54.59785079956055,8.661941528320312,-8.661941528320312,-5.811396598815918,54.59785461425781,8.661941528320312,-8.661941528320312,0.0,nan,20,20,,,,,,,,,
-5.811396598815918,58.03107833862305,8.655205726623535,-8.655205726623535,-5.811396598815918,58.03108215332031,8.655205726623535,-8.655205726623535,,,21,21,98.94371032714844,0.044031381607055664,-51.69195556640625,44.50034713745117,98.94371032714844,0.044031381607055664,-51.69195556640625,44.50034713745117,
-5.811396598815918,59.3662223815918,8.648364067077637,-8.648364067077637,-5.811396598815918,59.36622619628906,8.648364067077637,-8.648364067077637,,,22,22,,,,,,,,,
-5.811396598815918,56.6005744934082,8.641423225402832,-8.641423225402832,-5.811396598815918,56.60057067871094,8.641423225402832,-8.641423225402832,,,23,23,,,,,,,,,
-5.811396598815918,54.97932052612305,8.634393692016602,-8.634393692016602,-5.811396598815918,54.97932434082031,8.634393692016602,-8.634393692016602,,,24,24,,,,,,,,,
-5.811396598815918,55.027008056640625,8.627283096313477,-8.627283096313477,-5.811396598815918,55.027008056640625,8.627283096313477,-8.627283096313477,0.0,nan,25,25,,,,,,,,,
-5.811396598815918,59.17548751831055,8.620101928710938,-8.620101928710938,-5.811396598815918,59.17549133300781,8.620101928710938,-8.620101928710938,,,26,26,,,,,,,,,
-5.811396598815918,55.027008056640625,8.612859725952148,-8.612859725952148,-5.811396598815918,55.027008056640625,8.612859725952148,-8.612859725952148,,,27,27,,,,,,,,,
-5.811396598815918,59.604644775390625,8.605566024780273,-8.605566024780273,-5.811396598815918,59.604644775390625,8.605566024780273,-8.605566024780273,,,28,28,,,,,,,,,
-5.811396598815918,66.61415100097656,8.598227500915527,-8.598227500915527,-5.811396598815918,66.61415100097656,8.598227500915527,-8.598227500915527,,,29,29,,,,,,,,,
-5.811396598815918,56.40983963012695,8.590855598449707,-8.590855598449707,-5.811396598815918,56.40983581542969,8.590855598449707,-8.590855598449707,0.0,nan,30,30,,,,,,,,,
-5.811396598815918,54.5501708984375,8.583454132080078,-8.583454132080078,-5.811396598815918,54.5501708984375,8.583454132080078,-8.583454132080078,,,31,31,104.9995346069336,0.08483231067657471,-69.04487609863281,61.844322204589844,104.99954223632812,0.08483231067657471,-69.04487609863281,61.844322204589844,
-5.811396598815918,59.413909912109375,8.576033592224121,-8.576033592224121,-5.811396598815918,59.413909912109375,8.576033592224121,-8.576033592224121,,,32,32,,,,,,,,,
-5.811396598815918,54.5501708984375,8.568597793579102,-8.568597793579102,-5.811396598815918,54.5501708984375,8.568597793579102,-8.568597793579102,,,33,33,,,,,,,,,
-5.811396598815918,59.604644775390625,8.56115436553955,-8.56115436553955,-5.811396598815918,59.604644775390625,8.56115436553955,-8.56115436553955,,,34,34,,,,,,,,,
-5.811396598815918,58.2218132019043,8.553709030151367,-8.553709030151367,-5.811396598815918,58.22181701660156,8.553709030151367,-8.553709030151367,0.0,nan,35,35,,,,,,,,,
-5.811396598815918,59.223175048828125,8.546266555786133,-8.546266555786133,-5.811396598815918,59.223175048828125,8.546266555786133,-8.546266555786133,,,36,36,,,,,,,,,
-5.811396598815918,75.62637329101562,8.53883171081543,-8.53883171081543,-5.811396598815918,75.62637329101562,8.53883171081543,-8.53883171081543,,,37,37,,,,,,,,,
-5.811396598815918,66.375732421875,8.531407356262207,-8.531407356262207,-5.811396598815918,66.375732421875,8.531407356262207,-8.531407356262207,,,38,38,,,,,,,,,
-5.811396598815918,56.9820442199707,8.52399730682373,-8.52399730682373,-5.811396598815918,56.98204040527344,8.52399730682373,-8.52399730682373,,,39,39,,,,,,,,,
-5.811396598815918,55.599212646484375,8.516606330871582,-8.516606330871582,-5.811396598815918,55.599212646484375,8.516606330871582,-8.516606330871582,0.0,nan,40,40,,,,,,,,,
-5.811396598815918,54.7885856628418,8.509233474731445,-8.509233474731445,-5.811396598815918,54.78858947753906,8.509233474731445,-8.509233474731445,,,41,41,104.37965393066406,0.02963101863861084,-35.24838638305664,28.98300552368164,104.37965393066406,0.02963101863861084,-35.24838638305664,28.98300552368164,
-5.811396598815918,55.599212646484375,8.501884460449219,-8.501884460449219,-5.811396598815918,55.599212646484375,8.501884460449219,-8.501884460449219,,,42,42,,,,,,,,,
-5.811396598815918,59.413909912109375,8.494558334350586,-8.494558334350586,-5.811396598815918,59.413909912109375,8.494558334350586,-8.494558334350586,,,43,43,,,,,,,,,
-5.811396598815918,56.171417236328125,8.487256050109863,-8.487256050109863,-5.811396598815918,56.171417236328125,8.487256050109863,-8.487256050109863,,,44,44,,,,,,,,,
-5.811396598815918,54.21638107299805,8.479979515075684,-8.479979515075684,-5.811396598815918,54.21638488769531,8.479979515075684,-8.479979515075684,0.0,nan,45,45,,,,,,,,,
