log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,val_loss_jacobian_u,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,time_forward
-4.659132480621338,1.0791778564453125,7.654649257659912,-7.654649257659912,-4.659132480621338,1.0791778564453125,7.654649257659912,-7.654649257659912,0.00045028331805951893,nan,0,4,,,,,,,,,
-4.659132480621338,1.0844230651855469,7.593956470489502,-7.593956470489502,-4.659132480621338,1.0844230651855469,7.593956470489502,-7.593956470489502,,,1,9,0.3403663635253906,0.0019317865371704102,-176.47476196289062,171.6441650390625,0.3403663635253906,0.0019317865371704102,-176.47476196289062,171.6441650390625,
-4.659132480621338,1.1267662048339844,7.5391974449157715,-7.5391974449157715,-4.659132480621338,1.1267662048339844,7.5391974449157715,-7.5391974449157715,,,2,14,,,,,,,,,
-4.659132480621338,1.0815620422363281,7.488300800323486,-7.488300800323486,-4.659132480621338,1.0815620422363281,7.488300800323486,-7.488300800323486,,,3,19,,,,,,,,,
-4.659132480621338,1.0919570922851562,7.440181255340576,-7.440181255340576,-4.659132480621338,1.0919570922851562,7.440181255340576,-7.440181255340576,,,4,24,,,,,,,,,
-4.659132480621338,1.0831832885742188,7.393853187561035,-7.393853187561035,-4.659132480621338,1.0831832885742188,7.393853187561035,-7.393853187561035,0.021360863000154495,nan,5,29,,,,,,,,,
-4.659132480621338,1.0899543762207031,7.348700046539307,-7.348700046539307,-4.659132480621338,1.0899543762207031,7.348700046539307,-7.348700046539307,,,6,34,,,,,,,,,
-4.659132480621338,1.0836601257324219,7.304271697998047,-7.304271697998047,-4.659132480621338,1.0836601257324219,7.304271697998047,-7.304271697998047,,,7,39,,,,,,,,,
-4.659132480621338,1.0859489440917969,7.26011323928833,-7.26011323928833,-4.659132480621338,1.0859489440917969,7.26011323928833,-7.26011323928833,,,8,44,,,,,,,,,
,,3.894343376159668,-3.8355166912078857,,,,,,,9,49,,,,,,,,,1.3852119445800781
